trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.001, 'e': 0.922193691444608}",25,0,-108.47419183552861,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",20,4,-39.2804781214966,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 0}",1
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",35,0,-118.76245595388059,"{0: 26, 1: 4, 2: 1, 3: 2, 4: 2}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",25,0,-85.6364531480608,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",25,0,-128.20940316399114,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",20,0,-105.9304769621593,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",20,0,-74.46116801095036,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",25,0,-102.4246288384246,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.001, 'e': 0.914845573574452}",25,0,-162.88374090834236,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",25,0,-243.49820714453995,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",25,0,-162.54193504392572,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",20,0,-107.80291166818289,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",20,0,-109.2413657905961,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
95,False,"{'a': 0.001, 'e': 0.910282762240767}",30,0,-220.8243131307056,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",20,3,-20.509511010445156,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",30,0,-168.75271495852712,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",20,0,-81.18275345018861,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",20,0,-150.5043169384545,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",20,0,-111.2825066382518,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",20,0,-57.97228866357735,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",20,0,-71.69561240225858,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",35,0,-219.50265594227625,"{0: 19, 1: 3, 2: 7, 3: 4, 4: 2}",0
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",30,17,-24.216155445910285,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",30,2,-94.18603286714391,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 1}",1
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",20,0,-97.54130880894043,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
107,False,"{'a': 0.001, 'e': 0.899424648075924}",30,0,-70.25857199210739,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",30,0,-144.66183256468818,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",30,0,-150.46483134517146,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",20,0,-148.19559476090632,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",25,5,-110.99259672707892,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",1
112,False,"{'a': 0.001, 'e': 0.894938748929031}",20,0,-93.59064607545255,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",20,0,-32.870468655009525,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",25,0,-147.99416949605043,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",20,0,-19.137911614066617,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",25,0,-49.07724380715431,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",25,0,-159.7591205833116,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",20,8,-44.88561271704188,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",20,0,-45.3710416849705,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",20,0,-133.89367006857805,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",20,0,-68.5292705965671,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",20,0,-68.58975350821983,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",20,0,-53.83219002843102,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",25,0,-183.0547262561373,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",20,0,-122.22231559453509,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",30,0,-147.32829173946746,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",30,0,-18.55423454294858,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
128,False,"{'a': 0.001, 'e': 0.880733672597157}",30,0,-41.66974989497557,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
